artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Sólo Compás Flamenco,tango,track,Tangos con guitarra,2000,10bdu4Xqkg7LN8e37c0xzl," <a href=""https://www.last.fm/music/S%C3%B3lo+Comp%C3%A1s+Flamenco"">Read more on Last.fm</a>",339,2105,Manuel Salado,Jose Galvan,Juana Amaya
Francisco Tárrega,tango,track,Tango,2000,2B0GZptsB5AXXTnsbId5X2,"Francisco Tárrega (Francisto Tarrega y Eixea) (1852-11-21 - 1909-12-15) was a Spanish composer and guitarist. Born in Villarreal, Spain, he fell into an irrigation channel when he was young, which rendered him nearly blind. Partially due to this accident, the family moved to Castellon and enrolled him in music classes. Both his first music teachers, Eugeni Ruiz and Manuel Gonzalez, were blind. In 1862, guitarist Julián Arcas heard the young prodigy and encouraged him to journey to Barcelona, a hub for musicians. <a href=""https://www.last.fm/music/+noredirect/Francisco+T%C3%A1rrega"">Read more on Last.fm</a>",184454,1505445,Andrés Segovia,Joaquín Rodrigo,Isaac Albéniz
Pepa de Ricardo,tango,track,Tangos 2,2000,7DTxIfMlycIh0oJB2A3cqH,,,,,,
Sólo Compás Flamenco,tango,track,Tangos sin guitarra,2000,7pLe01mENAc4hTJJvAe4m3," <a href=""https://www.last.fm/music/S%C3%B3lo+Comp%C3%A1s+Flamenco"">Read more on Last.fm</a>",339,2105,Manuel Salado,Jose Galvan,Juana Amaya
Georges Moustaki,tango,track,Le tango de demain,2000,1X1i6WaDZeJQEAjJZpiIvq,"Georges Moustaki (1934-2013) was a singer-songwriter of Greek Jewish origin. Moustaki was born Yussef Mustacchi on the 3rd May 1934 in Alexandria, Egypt, of Sephardic Jewish parents who had moved there from Corfu, and who ran a bookshop in the city. The family spoke Italian at home, but Georges (then Yussef) spoke Arabic with his friends and attended a French school to which his Francophile parents sent him and his sisters. In 1951 he moved to Paris <a href=""https://www.last.fm/music/Georges+Moustaki"">Read more on Last.fm</a>",99578,884968,Serge Reggiani,Jean Ferrat,Maxime Le Forestier
Orquestra Romântica Brasileira,tango,track,Madreselva,2000,0XFXoKeljgaCIg1tHXPH88," <a href=""https://www.last.fm/music/+noredirect/Orquestra+Rom%C3%A2ntica+Brasileira"">Read more on Last.fm</a>",996,12110,Kike Fernández,Miguel Nacel,Orquesta Raiz Latina
Orquestra Romântica Brasileira,tango,track,Adios Muchachos,2000,0fJdQH9oeZsXCmv2eZoz1t," <a href=""https://www.last.fm/music/+noredirect/Orquestra+Rom%C3%A2ntica+Brasileira"">Read more on Last.fm</a>",996,12110,Kike Fernández,Miguel Nacel,Orquesta Raiz Latina
Roberto Goyeneche,tango,track,Balada para un Loco,2000,4n35TddfNkMH1UnvfCgTkv,"Roberto Goyeneche (1926 - 1994) was an Argentine tango singer who epitomized the archetype of 1950s Buenos Aires' bohemian life, and became a living legend in the local music scene. It was in 1944, at the age of 18, when the talented troubadour joined Raúl Kaplún's orchestra after winning a local contest, soon, debuting live in a local radio station called Belgrano. In 1952, Goyeneche teamed up with Horacio Salgán and with Aníbal Troilo in 1956 <a href=""https://www.last.fm/music/Roberto+Goyeneche"">Read more on Last.fm</a>",58732,561244,Julio Sosa,Carlos Gardel,Cacho Castaña
The Shadows,tango,track,Guitar Tango,2000,3TcpEbwdXAacOGW2C19xhw,"There is more than one act that goes by the name 'The Shadows'; 1) The Shadows (originally known as the Drifters) were an English instrumental rock group, who dominated the British popular music charts in the late 1950s and early 1960s, in the pre-Beatles era. They served as the backing band for Cliff Richard from 1958 to 1968, and have joined him for several reunion tours. The Shadows have had 69 UK chart singles from the 1950s to the 2000s, 35 credited to the Shadows and 34 to Cliff Richard and the Shadows. <a href=""https://www.last.fm/music/The+Shadows"">Read more on Last.fm</a>",383368,4015948,The Ventures,Cliff Richard,The Searchers
Djordje Balasevic,tango,track,Balkanski tango,2000,3Sz3Jx4XqKRCGKOYUeeBgT,"This is an incorrect tag for Đorđe Balašević. <a href=""https://www.last.fm/music/+noredirect/Djordje+Balasevic"">Read more on Last.fm</a>",11354,529325,Bijelo Dugme,Zabranjeno Pušenje,Crvena Jabuka
Andrés Calamaro,tango,track,Barrio de tango,2000,5Ku5SbsLdv4mlhLwhPG9jW,"Andres Calamaro is one of the most popular Argentinian pop-rock songwriters. A songs craftsman, as he likes to consider himself. Born Aug 22, 1961 in Buenos Aires, Argentina, he began his professional musical career at the age of 17 playing keyboards in Raíces. In 1981 he incorporated to one of the main bands of the Argentinean '80s rock scene: Los Abuelos de la Nada. Although the band was led by the brilliant Miguel Abuelo, Calamaro composed most of the band's hits <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9s+Calamaro"">Read more on Last.fm</a>",418596,14862363,Los Rodríguez,Fito Páez,Intoxicados
Tango Enrosque,tango,track,Desde al alma,2000,3fW8C6xWqV7QxwcS2sulCH," <a href=""https://www.last.fm/music/Tango+Enrosque"">Read more on Last.fm</a>",213,698,Trio Pantango,Trio Hugo Diaz,Tango Siempre
Cuarteto Guardia Vieja,tango,track,Desde el alma,2000,0ISLz5a4olabgrCTAZyTwE," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
Familia Montoya,tango,track,Montoya,2000,1QEnSYjVGlOXRoeDI05T0Q," <a href=""https://www.last.fm/music/Familia+Montoya"">Read more on Last.fm</a>",94,533,El Agujetas,Fernanda de Utrera,Ramón El Portugués
Niña Pastori,tango,track,Manolillo el Canastero (Tangos),2000,6IzadHg0LYaaEt5c6Uv9tN,"Niña Pastori is a Spanish flamenco singer (cantaora). She was born María Rosa García García in San Fernando (Cádiz) on 15 January 1978. The youngest of five siblings and only daughter of a military man (José) and gypsy flamenco singer La Pastori, she started her artistic career at a very young age. By the time she was six, she was accompanying her mother to the flamenco tablaos of her neighborhood, ""el Boquete"". A year later she won a contest in San Fernando <a href=""https://www.last.fm/music/+noredirect/Ni%C3%B1a+Pastori"">Read more on Last.fm</a>",130892,1024873,El Barrio,Ketama,Rosario
Familia Montoya,tango,track,Gitana Soy,2000,5E7BDxVgREglzVePKKrsYn," <a href=""https://www.last.fm/music/Familia+Montoya"">Read more on Last.fm</a>",94,533,El Agujetas,Fernanda de Utrera,Ramón El Portugués
Familia Montoya,tango,track,Triana,2000,7siinDxy9iqxs60KYXcr6X," <a href=""https://www.last.fm/music/Familia+Montoya"">Read more on Last.fm</a>",94,533,El Agujetas,Fernanda de Utrera,Ramón El Portugués
Cuarteto Guardia Vieja,tango,track,Francia,2000,7bmoAZqTHeXZ7Vf90KCF5o," <a href=""https://www.last.fm/music/Cuarteto+Guardia+Vieja"">Read more on Last.fm</a>",998,3864,Orquesta Tipica Victor,Francisco Canaro,Agustín Magaldi
